model,accuracy,macro_f1,f1_neg,f1_neu,f1_pos,runtime_ms_per_1000,tau_low,tau_high
VADER,0.5345080763582967,0.4629567361843387,0.5972495088408645,0.1180811808118081,0.6735395189003437,1.9635261418010688,,
TextBlob,0.4537444933920704,0.3661814970650875,0.5024154589371981,0.0161290322580645,0.58,0.9014172350957704,,
HAC-VT,0.5330396475770925,0.5176596817434942,0.5870841487279843,0.3020833333333333,0.6638115631691649,0.7472945029865102,-6.0,6.0
